KCPL,DateTime,DayOfWeek,Year,Quarter,IsWeekend,Month,DayNumber_Year,DayNumber_Week,DayOfYear,Hour,Minute,WeekNumber,temperature_f,weather_code
2024.031667,2015-01-01 07:00:00,Thursday,2015,1,0,1,1,3,1,7,0,1,25.0691,1
1994.646167,2015-01-01 08:00:00,Thursday,2015,1,0,1,1,3,1,8,0,1,25.4291,1
1976.253083,2015-01-01 09:00:00,Thursday,2015,1,0,1,1,3,1,9,0,1,25.1591,1
1961.418333,2015-01-01 10:00:00,Thursday,2015,1,0,1,1,3,1,10,0,1,23.809101,0
1965.44325,2015-01-01 11:00:00,Thursday,2015,1,0,1,1,3,1,11,0,1,20.6591,1
2004.64425,2015-01-01 12:00:00,Thursday,2015,1,0,1,1,3,1,12,0,1,18.8591,0
2042.558,2015-01-01 13:00:00,Thursday,2015,1,0,1,1,3,1,13,0,1,17.4191,0
2051.0815,2015-01-01 14:00:00,Thursday,2015,1,0,1,1,3,1,14,0,1,14.719099,0
2033.29025,2015-01-01 15:00:00,Thursday,2015,1,0,1,1,3,1,15,0,1,10.8491,0
2041.120417,2015-01-01 16:00:00,Thursday,2015,1,0,1,1,3,1,16,0,1,7.4291,0
2002.190167,2015-01-01 17:00:00,Thursday,2015,1,0,1,1,3,1,17,0,1,5.5390987,0
1976.567833,2015-01-01 18:00:00,Thursday,2015,1,0,1,1,3,1,18,0,1,3.9191017,0
1946.020917,2015-01-01 19:00:00,Thursday,2015,1,0,1,1,3,1,19,0,1,2.6590977,0
1922.3065,2015-01-01 20:00:00,Thursday,2015,1,0,1,1,3,1,20,0,1,1.759098,0
1903.512167,2015-01-01 21:00:00,Thursday,2015,1,0,1,1,3,1,21,0,1,0.8590965,0
1926.05,2015-01-01 22:00:00,Thursday,2015,1,0,1,1,3,1,22,0,1,0.13909912,0
1986.015167,2015-01-01 23:00:00,Thursday,2015,1,0,1,1,3,1,23,0,1,-0.4009018,0
2129.975583,2015-01-02 00:00:00,Friday,2015,1,0,1,2,4,2,0,0,1,-0.85089874,0
2144.1575,2015-01-02 01:00:00,Friday,2015,1,0,1,2,4,2,1,0,1,-1.5709,0
2115.598917,2015-01-02 02:00:00,Friday,2015,1,0,1,2,4,2,2,0,1,0.13909912,0
2074.346417,2015-01-02 03:00:00,Friday,2015,1,0,1,2,4,2,3,0,1,6.889099,0
2005.669,2015-01-02 04:00:00,Friday,2015,1,0,1,2,4,2,4,0,1,14.2691,0
1907.306083,2015-01-02 05:00:00,Friday,2015,1,0,1,2,4,2,5,0,1,18.8591,0
1809.95025,2015-01-02 06:00:00,Friday,2015,1,0,1,2,4,2,6,0,1,21.1091,0
1737.73875,2015-01-02 07:00:00,Friday,2015,1,0,1,2,4,2,7,0,1,21.9191,0
1694.097,2015-01-02 08:00:00,Friday,2015,1,0,1,2,4,2,8,0,1,22.6391,0
1676.03725,2015-01-02 09:00:00,Friday,2015,1,0,1,2,4,2,9,0,1,22.4591,0
1676.985083,2015-01-02 10:00:00,Friday,2015,1,0,1,2,4,2,10,0,1,20.2091,0
1710.497917,2015-01-02 11:00:00,Friday,2015,1,0,1,2,4,2,11,0,1,16.1591,0
1802.315333,2015-01-02 12:00:00,Friday,2015,1,0,1,2,4,2,12,0,1,12.559101,0
1923.744917,2015-01-02 13:00:00,Friday,2015,1,0,1,2,4,2,13,0,1,10.129101,0
2011.952583,2015-01-02 14:00:00,Friday,2015,1,0,1,2,4,2,14,0,1,8.5091,0
2025.500917,2015-01-02 15:00:00,Friday,2015,1,0,1,2,4,2,15,0,1,7.3391,0
2042.388333,2015-01-02 16:00:00,Friday,2015,1,0,1,2,4,2,16,0,1,6.5291004,0
2036.474833,2015-01-02 17:00:00,Friday,2015,1,0,1,2,4,2,17,0,1,5.8990993,0
2011.319417,2015-01-02 18:00:00,Friday,2015,1,0,1,2,4,2,18,0,1,5.0891,0
1982.25975,2015-01-02 19:00:00,Friday,2015,1,0,1,2,4,2,19,0,1,3.9191017,0
1978.806833,2015-01-02 20:00:00,Friday,2015,1,0,1,2,4,2,20,0,1,2.929102,0
1976.459167,2015-01-02 21:00:00,Friday,2015,1,0,1,2,4,2,21,0,1,2.299099,0
1985.706583,2015-01-02 22:00:00,Friday,2015,1,0,1,2,4,2,22,0,1,2.0291023,0
2033.121833,2015-01-02 23:00:00,Friday,2015,1,0,1,2,4,2,23,0,1,2.0291023,0
2152.555,2015-01-03 00:00:00,Saturday,2015,1,0,1,3,5,3,0,0,1,1.9390984,0
2126.149917,2015-01-03 01:00:00,Saturday,2015,1,0,1,3,5,3,1,0,1,1.6691017,0
2073.964167,2015-01-03 02:00:00,Saturday,2015,1,0,1,3,5,3,2,0,1,3.559101,0
2025.44975,2015-01-03 03:00:00,Saturday,2015,1,0,1,3,5,3,3,0,1,10.5791,0
1957.119667,2015-01-03 04:00:00,Saturday,2015,1,0,1,3,5,3,4,0,1,19.7591,0
1861.60225,2015-01-03 05:00:00,Saturday,2015,1,0,1,3,5,3,5,0,1,25.9691,0
1757.317333,2015-01-03 06:00:00,Saturday,2015,1,0,1,3,5,3,6,0,1,29.2091,0
1686.135833,2015-01-03 07:00:00,Saturday,2015,1,0,1,3,5,3,7,0,1,30.7391,0
1637.675,2015-01-03 08:00:00,Saturday,2015,1,0,1,3,5,3,8,0,1,31.1891,0
1613.436583,2015-01-03 09:00:00,Saturday,2015,1,0,1,3,5,3,9,0,1,30.3791,1
1608.859,2015-01-03 10:00:00,Saturday,2015,1,0,1,3,5,3,10,0,1,27.8591,1
1624.3,2015-01-03 11:00:00,Saturday,2015,1,0,1,3,5,3,11,0,1,23.2691,2
1669.04375,2015-01-03 12:00:00,Saturday,2015,1,0,1,3,5,3,12,0,1,18.8591,2
1735.12775,2015-01-03 13:00:00,Saturday,2015,1,0,1,3,5,3,13,0,1,15.3491,3
1811.7825,2015-01-03 14:00:00,Saturday,2015,1,0,1,3,5,3,14,0,1,13.2791,3
1841.01125,2015-01-03 15:00:00,Saturday,2015,1,0,1,3,5,3,15,0,1,11.6591,3
1895.16725,2015-01-03 16:00:00,Saturday,2015,1,0,1,3,5,3,16,0,1,9.8591,3
1913.816833,2015-01-03 17:00:00,Saturday,2015,1,0,1,3,5,3,17,0,1,8.689098,3
1897.999417,2015-01-03 18:00:00,Saturday,2015,1,0,1,3,5,3,18,0,1,7.6991005,3
1870.81475,2015-01-03 19:00:00,Saturday,2015,1,0,1,3,5,3,19,0,1,8.5091,3
1835.540917,2015-01-03 20:00:00,Saturday,2015,1,0,1,3,5,3,20,0,1,9.4091,3
1806.10275,2015-01-03 21:00:00,Saturday,2015,1,0,1,3,5,3,21,0,1,9.8591,3
1800.128,2015-01-03 22:00:00,Saturday,2015,1,0,1,3,5,3,22,0,1,10.129101,71
1845.316667,2015-01-03 23:00:00,Saturday,2015,1,0,1,3,5,3,23,0,1,10.039099,71
1993.067833,2015-01-04 00:00:00,Sunday,2015,1,1,1,4,6,4,0,0,1,10.129101,71
2004.955,2015-01-04 01:00:00,Sunday,2015,1,1,1,4,6,4,1,0,1,9.9491005,71
1978.338833,2015-01-04 02:00:00,Sunday,2015,1,1,1,4,6,4,2,0,1,10.399099,71
1957.48225,2015-01-04 03:00:00,Sunday,2015,1,1,1,4,6,4,3,0,1,13.9991,2
1921.920083,2015-01-04 04:00:00,Sunday,2015,1,1,1,4,6,4,4,0,1,18.4091,3
